Date,Score
2024-10-15,482
2024-10-16,221
2024-10-17,397
2024-10-18,456
2024-10-19,123
2024-10-20,498
2024-10-21,278
2024-10-22,185
2024-10-23,365
2024-10-24,471
2024-10-25,251
2024-10-26,178
2024-10-27,382
2024-10-28,495
2024-10-29,265
2024-10-30,192
2024-10-31,375
2024-11-01,488
2024-11-02,258
2024-11-03,185
2024-11-04,368
2024-11-05,491
2024-11-06,261
2024-11-07,188
2024-11-08,371
2024-11-09,494
2024-11-10,264
2024-11-11,191
2024-11-12,374
2024-11-13,487
2024-11-14,257
2024-11-15,184
2024-11-16,367
2024-11-17,490
2024-11-18,260
2024-11-19,187
2024-11-20,370
2024-11-21,493
2024-11-22,263
2024-11-23,190
2024-11-24,373
2024-11-25,486
2024-11-26,256
2024-11-27,183
2024-11-28,366
2024-11-29,489
2024-11-30,259
2024-12-01,186
2024-12-02,369
2024-12-03,492
2024-12-04,262
2024-12-05,189
2024-12-06,372
2024-12-07,495
2024-12-08,265
2024-12-09,192
2024-12-10,375
2024-12-11,488
2024-12-12,258
2024-12-13,185
2024-12-14,368
2024-12-15,491
2024-12-16,261
2024-12-17,618
2024-12-18,752
2024-12-19,895
2024-12-20,631
2024-12-21,765
2024-12-22,908
2024-12-23,643
2024-12-24,777
2024-12-25,920
2024-12-26,656
2024-12-27,789
2024-12-28,932
2024-12-29,668
2024-12-30,791
2025-01-01,944
