Date,Product,Price,Quantity
2023-01-01,pen,19.9,9
2023-01-04,calculator,5.0,1
2023-01-08,card,0.75,6
2023-01-12,card,0.75,3
2023-01-15,tablet,249.5,1
2023-01-19,calculator,5.0,6
2023-01-23,card,0.75,1
2023-01-26,pen,19.9,6
2023-01-30,cell phone,259.99,7
2023-02-03,laptop,499.99,1
2023-02-06,laptop,499.99,10
2023-02-10,tablet,249.5,6
2023-02-14,card,0.75,5
2023-02-17,pen,19.9,10
2023-02-21,calculator,5.0,5
2023-02-25,laptop,499.99,1
2023-02-28,cell phone,259.99,10
2023-03-04,laptop,499.99,5
2023-03-08,card,0.75,6
2023-03-11,calculator,5.0,7
2023-03-15,pen,19.9,4
2023-03-19,pen,19.9,1
2023-03-22,cell phone,259.99,9
2023-03-26,card,0.75,8
2023-03-30,cell phone,259.99,3
2023-04-02,monitor,199.99,3
2023-04-06,calculator,5.0,10
2023-04-10,calculator,5.0,3
2023-04-13,calculator,5.0,6
2023-04-17,calculator,5.0,1
2023-04-21,pen,19.9,3
2023-04-24,card,0.75,6
2023-04-28,card,0.75,9
2023-05-02,tablet,249.5,9
2023-05-06,pen,19.9,7
2023-05-09,pen,19.9,1
2023-05-13,monitor,199.99,8
2023-05-17,cell phone,259.99,2
2023-05-20,monitor,199.99,7
2023-05-24,cell phone,259.99,4
2023-05-28,calculator,5.0,5
2023-05-31,calculator,5.0,9
2023-06-04,cell phone,259.99,3
2023-06-08,pen,19.9,8
2023-06-11,tablet,249.5,6
2023-06-15,pen,19.9,7
2023-06-19,laptop,499.99,5
2023-06-22,pen,19.9,6
2023-06-26,cell phone,259.99,7
2023-06-30,tablet,249.5,10
2023-07-03,cell phone,259.99,3
2023-07-07,calculator,5.0,8
2023-07-11,laptop,499.99,1
2023-07-14,laptop,499.99,1
2023-07-18,monitor,199.99,4
2023-07-22,card,0.75,3
2023-07-25,monitor,199.99,9
2023-07-29,card,0.75,6
2023-08-02,laptop,499.99,3
2023-08-05,tablet,249.5,3
2023-08-09,card,0.75,3
2023-08-13,monitor,199.99,9
2023-08-16,card,0.75,6
2023-08-20,cell phone,259.99,5
2023-08-24,tablet,249.5,7
2023-08-27,card,0.75,10
2023-08-31,cell phone,259.99,2
2023-09-04,tablet,249.5,6
2023-09-08,laptop,499.99,5
2023-09-11,calculator,5.0,5
2023-09-15,pen,19.9,7
2023-09-19,card,0.75,6
2023-09-22,cell phone,259.99,8
2023-09-26,calculator,5.0,8
2023-09-30,laptop,499.99,6
2023-10-03,laptop,499.99,4
2023-10-07,cell phone,259.99,3
2023-10-11,laptop,499.99,3
2023-10-14,monitor,199.99,3
2023-10-18,cell phone,259.99,3
2023-10-22,tablet,249.5,7
2023-10-25,calculator,5.0,1
2023-10-29,calculator,5.0,8
2023-11-02,laptop,499.99,7
2023-11-05,tablet,249.5,1
2023-11-09,card,0.75,1
2023-11-13,card,0.75,7
2023-11-16,tablet,249.5,2
2023-11-20,card,0.75,9
2023-11-24,cell phone,259.99,8
2023-11-27,tablet,249.5,4
2023-12-01,pen,19.9,10
2023-12-05,cell phone,259.99,8
2023-12-08,laptop,499.99,1
2023-12-12,laptop,499.99,9
2023-12-16,monitor,199.99,2
2023-12-19,laptop,499.99,3
2023-12-23,card,0.75,2
2023-12-27,pen,19.9,5
2023-12-31,monitor,199.99,9
